iter	Passed	Remaining
0	95	47854
1	179	44646
2	272	45117
3	352	43748
4	448	44403
5	532	43842
6	618	43551
7	716	44053
8	814	44410
9	916	44902
10	1016	45195
11	1115	45362
12	1216	45560
13	1315	45649
14	1412	45671
15	1521	46024
16	1618	45978
17	1714	45908
18	1801	45602
19	1882	45182
20	1979	45147
21	2072	45038
22	2175	45127
23	2287	45364
24	2386	45350
25	2500	45592
26	2601	45565
27	2702	45553
28	2804	45543
29	2908	45569
30	3007	45506
31	3112	45523
32	3219	45562
33	3318	45477
34	3406	45258
35	3496	45068
36	3583	44840
37	3693	44906
38	3796	44874
39	3902	44876
40	4002	44809
41	4116	44886
42	4218	44830
43	4325	44827
44	4426	44761
45	4529	44704
46	4632	44648
47	4739	44630
48	4840	44552
49	4935	44420
50	5030	44291
51	5128	44187
52	5240	44197
53	5340	44105
54	5440	44017
55	5536	43894
56	5632	43779
57	5745	43781
58	5854	43762
59	5953	43661
60	6051	43553
61	6148	43436
62	6245	43322
63	6350	43259
64	6444	43131
65	6532	42959
66	6617	42764
67	6717	42677
68	6811	42550
69	6904	42415
70	6998	42289
71	7109	42261
72	7219	42230
73	7320	42145
74	7420	42052
75	7527	41994
76	7618	41851
77	7725	41798
78	7833	41745
79	7928	41623
80	8035	41564
81	8130	41444
82	8231	41354
83	8328	41247
84	8434	41179
85	8539	41109
86	8633	40982
87	8721	40830
88	8826	40761
89	8914	40608
90	9019	40539
91	9112	40410
92	9213	40319
93	9310	40211
94	9408	40112
95	9512	40033
96	9609	39926
97	9709	39829
98	9790	39656
99	9876	39507
100	9962	39357
101	10058	39247
102	10148	39115
103	10251	39034
104	10353	38948
105	10440	38805
106	10537	38703
107	10631	38589
108	10738	38521
109	10843	38443
110	10929	38302
111	11029	38210
112	11116	38072
113	11208	37951
114	11312	37873
115	11420	37804
116	11504	37661
117	11601	37558
118	11694	37443
119	11792	37342
120	11891	37245
121	11995	37166
122	12112	37124
123	12209	37023
124	12296	36889
125	12390	36777
126	12490	36684
127	12612	36654
128	12712	36560
129	12810	36461
130	12905	36351
131	12994	36227
132	13089	36119
133	13192	36034
134	13280	35905
135	13387	35830
136	13483	35726
137	13586	35639
138	13687	35547
139	13788	35455
140	13895	35378
141	14021	35350
142	14120	35252
143	14247	35222
144	14327	35078
145	14429	34986
146	14529	34890
147	14639	34817
148	14769	34792
149	14887	34737
150	14984	34632
151	15088	34545
152	15183	34436
153	15290	34353
154	15387	34249
155	15488	34155
156	15586	34052
157	15674	33927
158	15767	33815
159	15868	33721
160	15964	33614
161	16056	33499
162	16155	33400
163	16257	33309
164	16352	33200
165	16433	33063
166	16514	32930
167	16623	32850
168	16735	32777
