Transaction_ID,Department,Transaction_Amount,Audit_Flag
1,IT,100,0
2,Procurement,956.5365488,0
3,Sales,10417.16268,0
4,Operations,100,0
5,Finance,12412.91721,0
6,Finance,319.0729291,0
7,Finance,7669.589642,0
8,Marketing,8847.769463,0
9,Operations,2549.045922,0
10,Sales,4379.955048,0
11,Finance,1574.720033,0
12,Procurement,7260.740643,1
13,Marketing,3408.150868,0
14,HR,6128.127011,0
15,Finance,418.053817,0
16,Finance,1194.136899,0
17,IT,100,0
18,Operations,1029.100949,0
19,IT,2723.778431,0
20,HR,10692.73008,0
21,Operations,8118.186512,0
22,Finance,5200.3602,0
23,HR,12787.7022,0
24,IT,8929.774055,0
25,Operations,12671.79733,0
26,Sales,4950.984711,0
27,Finance,100,0
28,Operations,555.3257737,0
29,Operations,7102.130853,0
30,Finance,100,1
31,Operations,3019.770794,0
32,Finance,6493.338531,1
33,Finance,3806.048953,0
34,Procurement,7309.085203,0
35,Procurement,529.7533881,0
36,Marketing,4087.230812,0
37,IT,363.9977623,0
38,Finance,22340.24659,1
39,Sales,9493.90659,0
40,IT,12224.8342,0
41,Finance,3237.701966,0
42,Operations,5055.029944,1
43,Finance,100,0
44,Procurement,6383.053305,0
45,HR,5705.718463,0
46,Sales,2729.607608,0
47,IT,5606.557921,0
48,Operations,5371.991266,0
49,Operations,3987.298097,1
50,Finance,3680.406952,0
51,Procurement,100,0
52,Sales,10133.99687,0
53,Procurement,486.8618972,0
54,Marketing,100,0
55,Operations,5569.76543,0
56,Procurement,9568.034502,0
57,Finance,2796.252171,0
58,Finance,5938.27255,0
59,Finance,4266.793286,0
60,IT,1369.996822,0
61,IT,12244.53225,0
62,HR,16070.92415,0
63,Marketing,1929.222774,0
64,IT,3457.160247,0
65,HR,5562.196573,0
66,Operations,100,0
67,Finance,5280.085011,0
68,Marketing,1289.727746,0
69,Finance,11852.65796,0
70,Procurement,2325.987621,0
71,Sales,7218.707696,0
72,Finance,8037.525333,0
73,Finance,2008.57698,0
74,Marketing,100,0
75,Sales,18120.66183,0
76,Sales,4291.024159,0
77,Sales,2786.270801,0
78,Finance,2796.005646,1
79,IT,3474.408074,0
80,Finance,100,0
81,Marketing,100,1
82,Operations,100,0
83,IT,8938.82553,0
84,Finance,5149.557435,0
85,IT,1560.648444,0
86,IT,1833.54945,0
87,Sales,7762.479097,0
88,Operations,100,1
89,Marketing,4949.162041,0
90,Operations,1795.818123,0
91,Finance,2604.173131,0
92,Sales,222.356231,0
93,Sales,12261.70397,0
94,Operations,2443.705454,0
95,Sales,100,0
96,Operations,7300.087872,0
97,Operations,9943.276157,0
98,IT,100,0
99,Finance,6044.247764,0
100,Finance,4359.261683,0
101,Finance,2914.764342,0
102,Operations,3301.867052,0
103,IT,3885.658713,0
104,Operations,3449.993806,0
105,Procurement,4451.288859,0
106,HR,1704.711199,0
107,IT,2488.277911,0
108,Sales,3520.019512,0
109,HR,6649.247976,0
110,Finance,19009.31395,0
111,HR,16969.08876,0
112,Finance,10877.08242,0
113,Procurement,4364.240214,0
114,Marketing,5922.608801,0
115,Operations,924.0300333,0
116,Marketing,7671.391367,0
117,Marketing,1574.958069,0
118,Finance,1808.603054,0
119,Marketing,11331.4605,1
120,Operations,3611.555157,0
121,Marketing,100,1
122,Marketing,11796.9946,0
123,IT,100,0
124,Finance,1422.722537,0
125,HR,5920.771303,0
126,IT,4438.719658,0
127,Marketing,1668.891974,0
128,Marketing,1556.515695,0
129,Finance,100,0
130,Operations,9720.174669,0
131,IT,3266.193223,0
132,HR,6619.28078,1
133,Finance,3347.181922,0
134,IT,1651.481189,0
135,Procurement,15924.42042,0
136,IT,6336.693576,0
137,Operations,1515.708558,0
138,Sales,100,0
139,IT,5578.504265,0
140,Procurement,17991.15845,0
141,Procurement,3881.485374,0
142,HR,307.5438127,0
143,Operations,1474.218618,0
144,IT,9161.454582,0
145,HR,4514.239737,0
146,Finance,12172.71215,0
147,Operations,3971.889636,0
148,Operations,10062.09817,0
149,Finance,2298.012193,0
150,HR,871.4629627,1
151,Procurement,100,0
152,HR,100,0
153,Finance,11127.57341,0
154,Operations,6165.611117,0
155,Procurement,4565.253209,0
156,HR,2723.170965,0
157,Sales,1175.07457,0
158,Sales,6485.875369,0
159,HR,3579.7978,0
160,Sales,100,0
161,IT,5004.22612,0
162,Operations,507.0540739,1
163,Operations,100,0
164,Operations,5152.184111,0
165,Finance,100,0
166,Marketing,21065.27733,0
167,IT,3501.725528,0
168,Finance,2549.693747,0
169,Finance,1206.52645,0
170,Operations,6603.01324,0
171,Sales,4666.34898,0
172,Finance,5516.219399,0
173,Operations,100,0
174,HR,100,0
175,Operations,100,0
176,Finance,8789.998591,0
177,Sales,10659.1171,0
178,IT,2725.873031,0
179,Procurement,4582.993348,1
180,Finance,14890.91201,0
181,IT,1060.163937,0
182,Finance,11123.33149,0
183,Procurement,100,0
184,Marketing,15252.46999,0
185,HR,4042.502713,0
186,Sales,14649.77876,1
187,Marketing,1675.217227,1
188,Operations,1723.824732,0
189,Operations,14798.44453,0
190,HR,569.891349,0
191,Finance,100,0
192,Marketing,7725.59278,0
193,Procurement,7040.657555,0
194,Operations,12274.73112,0
195,IT,1229.615108,0
196,IT,13270.72756,0
197,Sales,9014.491317,1
198,Marketing,2654.749013,1
199,Marketing,3319.86476,0
200,Sales,1994.732419,0
201,Operations,100,1
202,Finance,18999.14968,0
203,Finance,4185.832173,0
204,Marketing,2573.718323,0
205,Operations,16464.03478,1
206,Finance,100,0
207,Finance,8016.759048,0
208,Sales,4488.030636,1
